,file_name,align/measure,H K L,energy_start,energy_end,energy_step,num_data_command,num_data_measured,mon,measure_date,measure_delta_time(min),instrument_setting_time(min),measure_time(min),command
0,049959,align,,,,,,,,24-May-24 11:24:58,4.7,4.3,0.4,sc a3 1.76 da3 0.5 np 21 ti 1
1,049960,align,,,,,,,,24-May-24 11:29:38,3.0,2.5,0.5,sc a3 53.42 da3 0.5 np 31 ti 1
2,049961,align,,,,,,,,24-May-24 11:32:35,1.1,1.0,0.1,bs a3 61 da3 0.5 np 21 ti 1
3,049962,align,,,,,,,,24-May-24 11:33:40,2.1,1.9,0.2,bs a3 61 da3 0.5 np 21 ti 1
4,049963,align,,,,,,,,24-May-24 11:35:47,7.0,6.8,0.2,sc gu 0 dgu 1 np 13 ti 1
5,049964,align,,,,,,,,24-May-24 11:42:46,2.2,1.8,0.4,sc a3 -10.75 da3 0.5 np 21 ti 1
6,049965,align,,,,,,,,24-May-24 11:45:01,4.2,4.1,0.1,bs a3 -5.25 da3 0.5 np 15 ti 1
7,049966,align,,,,,,,,24-May-24 11:49:11,5.1,4.4,0.7,sc a3 -53.72 da3 0.5 np 41 ti 1
8,049967,align,,,,,,,,24-May-24 11:54:19,3.0,2.8,0.2,sc gl 0 dgl 1 np 13 ti 1
9,049968,align,,,,,,,,24-May-24 11:57:16,1.4,1.2,0.2,sc a3 -53.72 da3 0.25 np 21 ti 1
10,049969,align,,,,,,,,24-May-24 11:58:43,7.0,6.6,0.4,sc a3 -53.72 da3 0.25 np 21 ti 1
11,049970,align,,,,,,,,24-May-24 12:05:46,2.6,2.2,0.4,sc a3 53.42 da3 0.25 np 21 ti 1
12,049971,align,,,,,,,,24-May-24 12:08:21,5.7,5.3,0.4,sc qh 6 0 0 0 dqh 0.01 0 0 0 np 21 ti 1
13,049972,align,,,,,,,,24-May-24 12:14:02,16.9,16.5,0.4,sc qh 6 0 0 0 dqh 0.02 0 0 0 np 21 ti 1
14,049973,align,,,,,,,,24-May-24 12:30:54,4.7,4.2,0.5,sc a3 37.18 da3 0.2 np 31 ti 1
15,049974,align,,,,,,,,24-May-24 12:35:38,19.8,19.0,0.8,sc qh 8 0 0 0 dqh 0.02 0 0 0 np 51 ti 1
16,049975,align,,,,,,,,24-May-24 12:55:24,28.4,28.0,0.4,sc qh 0 0 4 0 dqh 0 0 0.01 0 np 21 ti 1
17,049976,align,,,,,,,,24-May-24 13:23:47,2.3,1.9,0.4,sc a3 -43.2 da3 0.2 np 21 ti 1
18,049977,align,,,,,,,,24-May-24 13:26:05,6.3,5.9,0.4,sc qh 0 0 4 0 dqh 0 0 0.01 0 np 21 ti 1
19,049978,align,,,,,,,,24-May-24 13:32:21,5.2,4.8,0.4,sc a3 -43.30 da3 0.2 np 21
20,049979,align,,,,,,,,24-May-24 13:37:34,2.8,2.4,0.4,sc a3 37.18 da3 0.2 np 21
21,049980,align,,,,,,,,24-May-24 13:40:24,8.2,7.8,0.4,sc qh 8 0 0 0 dqh 0.02 0 0 0 np 25
22,049981,align,,,,,,,,24-May-24 13:48:37,4.5,4.1,0.4,sc a3 37 da3 0.2 np 21
23,049982,align,,,,,,,,24-May-24 13:53:09,4.2,3.4,0.8,bs d1t 30 dd1t -2 np 16 ti 3
24,049983,align,,,,,,,,24-May-24 13:57:21,2.4,1.6,0.8,bs d1b 30 dd1b -2 np 16 ti 3
25,049984,align,,,,,,,,24-May-24 13:59:48,1.3,0.9,0.4,bs d1l 15 dd1l -2 np 8 ti 3
26,049985,align,,,,,,,,24-May-24 14:01:05,1.3,0.9,0.4,bs d1r 15 dd1r -2 np 8 ti 3
27,049986,align,,,,,,,,24-May-24 14:02:22,3.1,2.3,0.8,bs d2t 30 dd2t -2 np 16 ti 3
28,049987,align,,,,,,,,24-May-24 14:05:28,2.8,2.0,0.8,bs d2b 30 dd2b -2 np 16 ti 3
29,049988,align,,,,,,,,24-May-24 14:08:13,1.2,0.8,0.4,bs d2l 15 dd2l -2 np 8 ti 3
30,049989,align,,,,,,,,24-May-24 14:09:28,4.4,4.0,0.4,bs d2r 15 dd2r -2 np 8 ti 3
31,049990,align,,,,,,,,24-May-24 14:13:51,2.8,2.0,0.8,bs d1t 30 dd1t -2 np 16 ti 3
32,049991,align,,,,,,,,24-May-24 14:16:42,2.4,1.6,0.8,bs d1b 30 dd1b -2 np 16 ti 3
33,049992,align,,,,,,,,24-May-24 14:19:09,1.3,0.9,0.4,bs d1l 15 dd1l -2 np 8 ti 3
34,049993,align,,,,,,,,24-May-24 14:20:25,1.3,0.9,0.4,bs d1r 15 dd1r -2 np 8 ti 3
35,049994,align,,,,,,,,24-May-24 14:21:42,2.8,2.0,0.8,bs d2t 30 dd2t -2 np 16 ti 3
36,049995,align,,,,,,,,24-May-24 14:24:28,2.8,2.0,0.8,bs d2b 30 dd2b -2 np 16 ti 3
37,049996,align,,,,,,,,24-May-24 14:27:14,1.2,0.8,0.4,bs d2l 15 dd2l -2 np 8 ti 3
38,049997,align,,,,,,,,24-May-24 14:28:28,21.9,21.5,0.4,bs d2r 15 dd2r -2 np 8 ti 3
39,049998,measure,9.0 0.0 0.0,10.0,30.0,0.5,41,41,45000,24-May-24 14:50:24,37.9,9.8,28.1,bs qh 9 0 0 10 dqh 0 0 0 0.5 np 41 mn 45000
40,049999,measure,8.0 0.0 0.0,10.0,30.0,0.5,41,41,50000,24-May-24 15:28:20,42.0,10.5,31.5,bs qh 8 0 0 10 dqh 0 0 0 0.5 np 41 mn 50000
41,050000,measure,-2.0 0.0 4.0,10.0,30.0,0.5,41,41,50000,24-May-24 16:10:23,41.0,9.4,31.6,bs qh -2 0 4 10 dqh 0 0 0 0.5 np 41 mn 50000
42,050001,measure,-3.0 0.0 4.0,10.0,30.0,0.5,41,41,50000,24-May-24 16:51:21,41.2,9.6,31.6,bs qh -3 0 4 10 dqh 0 0 0 0.5 np 41 mn 50000
43,050002,measure,5.0 0.0 3.0,10.0,30.0,0.5,41,41,50000,24-May-24 17:32:32,41.4,9.8,31.6,bs qh 5 0 3 10 dqh 0 0 0 0.5 np 41 mn 50000
44,050003,measure,6.0 0.0 3.0,10.0,30.0,0.5,41,41,50000,24-May-24 18:13:56,60.1,28.4,31.7,bs qh 6 0 3 10 dqh 0 0 0 0.5 np 41 mn 50000
45,050004,measure,9.0 0.0 0.0,30.5,40.5,0.5,21,21,50000,24-May-24 19:14:02,24.8,4.3,20.5,bs qh 9 0 0 30.5 dqh 0 0 0 0.5 np 21 mn 50000
46,050005,measure,8.0 0.0 0.0,30.5,40.5,0.5,21,21,50000,24-May-24 19:38:53,26.9,6.3,20.6,bs qh 8 0 0 30.5 dqh 0 0 0 0.5 np 21 mn 50000
47,050006,measure,-2.0 0.0 4.0,30.5,40.5,0.5,21,21,50000,24-May-24 20:05:45,24.7,4.1,20.6,bs qh -2 0 4 30.5 dqh 0 0 0 0.5 np 21 mn 50000
